instrument_id,isin,name,asset_type,ticker,currency,market,country,sector,industry,manual_source,notes
AB,,AllianceBernstein Holding Lp,stock,AB,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABAT,,Advanced Battery Technologies Inc,stock,ABAT,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABBV,,Abbvie Inc,stock,ABBV,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABCB,,Ameris Bancorp,stock,ABCB,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABCL,,AbCellera Biologics Inc,stock,ABCL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABEO,,Abeona Therapeutics Inc,stock,ABEO,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABEV,,Ambev S.A.,stock,ABEV,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABG,,Asbury Automotive Group Inc,stock,ABG,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABI,,Safety First Trust Series 2009-2,stock,ABI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABLLW,,Abacus Life Inc Warrant,stock,ABLLW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABLV,,Able View Global Inc - Class B,stock,ABLV,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABLVW,,Able View Global Inc - Warrants (17/08/2028),stock,ABLVW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABM,,ABM Industries Inc,stock,ABM,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABNB,,Airbnb Inc - Class A,stock,ABNB,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABNG,,Leverage Shares 2x Long ABNB Daily ETF,stock,ABNG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABOS,,Acumen Pharmaceuticals Inc,stock,ABOS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABPWW,,Abpro Holdings Inc - Warrants (12/11/2029),stock,ABPWW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABR,,Arbor Realty Trust Inc,stock,ABR,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABR-P-D,,Arbor Realty Trust Inc,stock,ABR-P-D,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABR-P-E,,Arbor Realty Trust Inc,stock,ABR-P-E,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABR-P-F,,Arbor Realty Trust Inc,stock,ABR-P-F,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABSI,,Absci Corp,stock,ABSI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABST,,Absolute Software Corporation,stock,ABST,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABT,,Abbott Laboratories,stock,ABT,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABTS,,Abits Group Inc,stock,ABTS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABUS,,Arbutus Biopharma Corp,stock,ABUS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABVC,,ABVC BioPharma Inc,stock,ABVC,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABVE,,Above Food Ingredients Inc,stock,ABVE,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABVEW,,Above Food Ingredients Inc - Warrants (02/04/2029),stock,ABVEW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABVX,,Abivax,stock,ABVX,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ABXL,,Abacus Global Management Inc,stock,ABXL,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACA,,Arcosa Inc,stock,ACA,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACAAU,,Averin Capital Acquisition Corp Units,stock,ACAAU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACAD,,Acadia Pharmaceuticals Inc,stock,ACAD,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACB,,Aurora Cannabis Inc,stock,ACB,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACCL,,Acco Group Holdings Ltd,stock,ACCL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACCO,,Acco Brands Corporation,stock,ACCO,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACDC,,ProFrac Holding Corp Class A,stock,ACDC,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACEI,,AMERICAN CHAMPION ENTERTAINMENT INC,stock,ACEI,USD,NYSE ARCA,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACEL,,Accel Entertainment Inc - Class A1,stock,ACEL,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACEP,,ARS CORE EQUITY PORTFOLIO ETF ,stock,ACEP,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACET,,Adicet Bio Inc,stock,ACET,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACGL,,Arch Capital Group Ltd,stock,ACGL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACGLN,,Arch Capital Group Ltd,stock,ACGLN,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACGLO,,Arch Capital Group Ltd,stock,ACGLO,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACH,,Owens & Minor Inc,stock,ACH,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACHC,,Acadia Healthcare Company Inc,stock,ACHC,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACHL,,Achilles Therapeutics Plc,stock,ACHL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACHR,,Archer Aviation Inc - Class A,stock,ACHR,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACHR-WS,,Archer Aviation Inc Wt,stock,ACHR-WS,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACHV,,Achieve Life Sciences Inc,stock,ACHV,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACI,,Albertsons Companies Inc - Class A,stock,ACI,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACIC,,American Coastal Insurance Corp,stock,ACIC,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACIU,,AC Immune SA,stock,ACIU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACIW,,ACI Worldwide Inc,stock,ACIW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACLO,,ACCELIO CORP,stock,ACLO,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACLS,,Axcelis Technologies Inc,stock,ACLS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACLX,,Arcellx Inc,stock,ACLX,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACM,,AECOM,stock,ACM,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACMR,,ACM Research Inc - Class A,stock,ACMR,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACN,,Accenture plc - Class A,stock,ACN,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACNB,,ACNB Corp,stock,ACNB,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACNT,,Ascent Industries Company,stock,ACNT,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACOG,,Alpha Cognition Inc,stock,ACOG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACON,,Aclarion Inc,stock,ACON,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACONW,,Aclarion Inc - Warrants (01/12/2026),stock,ACONW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACP-P-A,,abrdn Income Credit Strategies Fund,stock,ACP-P-A,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACR,,ACRES Commercial Realty Corp,stock,ACR,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACR-P-C,,ACRES Commercial Realty Corp,stock,ACR-P-C,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACR-P-D,,ACRES Commercial Realty Corp,stock,ACR-P-D,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACRE,,Ares Commercial Real Estate Corp,stock,ACRE,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACRS,,Aclaris Therapeutics Inc,stock,ACRS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACRV,,Acrivon Therapeutics Inc,stock,ACRV,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACST,,Acasti Pharma Inc - Class A,stock,ACST,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACT,,Enact Holdings Inc,stock,ACT,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACTG,,Acacia Research Corp,stock,ACTG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACTS,,Actions Semiconductor Company. Ltd. ADR,stock,ACTS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACTU,,Actuate Therapeutics Inc,stock,ACTU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACV-A,,ACV Auctions Inc Class A,stock,ACV-A,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACVA,,ACV Auctions Inc - Class A,stock,ACVA,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACXP,,Acurx Pharmaceuticals Inc,stock,ACXP,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ACYN,,FT Vest Laddered Autocallable Barrier & Income,stock,ACYN,USD,NYSE ARCA,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AD,,Array Digital Infrastructure Inc,stock,AD,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADACU,,American Drive Acquisition Co. - Units (1 Ord Cls A & 1/3 War),stock,ADACU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADACW,,American Drive Acquisition Company Warrant,stock,ADACW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAG,,Adagene Inc,stock,ADAG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAL,,Anthemis Digital Acquisitions I Corp - Class A,stock,ADAL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADALU,,Anthemis Digital Acquisitions I Corp - Units (1 Ord Class A & 1/2 War),stock,ADALU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADALW,,Anthemis Digital Acquisitions I Corp - Warrants (18/10/2026),stock,ADALW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAM,,Adamas Trust Inc,stock,ADAM,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAMG,,Adamas Trust Inc,stock,ADAMG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAMH,,Adamas Trust Inc 9.875 Senior Notes Due 2030,stock,ADAMH,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAMI,,Adamas Trust Inc,stock,ADAMI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAML,,Adamas Trust Inc,stock,ADAML,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAMM,,Adamas Trust Inc,stock,ADAMM,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAMN,,Adamas Trust Inc,stock,ADAMN,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAMO,,Adamas Trust Inc,stock,ADAMO,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADAMZ,,Adamas Trust Inc,stock,ADAMZ,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADBE,,Adobe Inc,stock,ADBE,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADBU,,Direxion Daily ADBE Bull 2X,stock,ADBU,USD,NYSE ARCA,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADC,,Agree Realty Corp,stock,ADC,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADC-P-A,,Agree Realty Corp,stock,ADC-P-A,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADCT,,Adc Therapeutics SA,stock,ADCT,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADEA,,Adeia Inc,stock,ADEA,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADGM,,Adagio Medical Holdings Inc,stock,ADGM,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADI,,Analog Devices Inc,stock,ADI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADIL,,Adial Pharmaceuticals Inc,stock,ADIL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADM,,Archer Daniels Midland Company,stock,ADM,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADMA,,Adma Biologics Inc,stock,ADMA,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADNT,,Adient plc,stock,ADNT,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADOCR,,Australian Oilseeds Holdings Ltd,stock,ADOCR,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADP,,Automatic Data Processing Inc,stock,ADP,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADPT,,Adaptive Biotechnologies Corp,stock,ADPT,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADSE,,Ads-Tec Energy Plc,stock,ADSE,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADSEW,,Ads-Tec Energy Plc - Warrants (22/12/2026),stock,ADSEW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADSK,,Autodesk Inc,stock,ADSK,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADT,,ADT Inc,stock,ADT,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADTN,,ADTRAN Holdings Inc,stock,ADTN,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADTX,,Aditxt Inc,stock,ADTX,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADUS,,Addus HomeCare Corporation,stock,ADUS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADV,,Advantage Solutions Inc - Class A,stock,ADV,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADVB,,Advanced Biomed Inc,stock,ADVB,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
ADXN,,Addex Therapeutics Ltd,stock,ADXN,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEAQ,,Activate Energy Acquisition Corp,stock,AEAQ,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEAQU,,Activate Energy Acquisition Corp - Units (1 Ord Cls A & 1/2 War),stock,AEAQU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEAQW,,Activate Energy Acquisition Corp Warrant,stock,AEAQW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEBI,,Aebi Schmidt Holding AG,stock,AEBI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEBIV,,Aebi Schmidt Holding AG,stock,AEBIV,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEC,,Associated Estates Realty Corp,stock,AEC,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEE,,Ameren Corp,stock,AEE,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEFC,,Aegon Funding Company LLC,stock,AEFC,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEG,,Aegon Ltd,stock,AEG,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEHA,,Aesther Healthcare Acquisition Corp - Class A,stock,AEHA,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEHL,,Antelope Enterprise Holdings Ltd - Class A,stock,AEHL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEHR,,Aehr Test Systems,stock,AEHR,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEI,,Alset Inc,stock,AEI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEIS,,Advanced Energy Industries Inc,stock,AEIS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEM,,Agnico Eagle Mines Ltd,stock,AEM,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEMD,,Aethlon Medical Inc,stock,AEMD,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AENT,,Alliance Entertainment Holding Corporation - Class A,stock,AENT,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AENTW,,Alliance Entertainment Holding Corporation - Warrants (11/02/2026),stock,AENTW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEO,,American Eagle Outfitters Inc,stock,AEO,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEON-WS,,AEON Biopharma Inc Warrants each whole warrant exercisable to purchase one share of Common Stock at an exercise price of 11.50 per share,stock,AEON-WS,USD,AMEX,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEP,,American Electric Power Company Inc,stock,AEP,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEPPZ,,American Electric Power Company Inc,stock,AEPPZ,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AER,,Aercap Holdings N.V.,stock,AER,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AERO,,Grupo Aeromexico S.A.B. De C.V.,stock,AERO,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AERT,,Advanced Environmental Recycling Technologies Inc,stock,AERT,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AERTW,,Aeries Technology Inc - Warrants (20/10/2026),stock,AERTW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AES,,AES Corp,stock,AES,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AESI,,Atlas Energy Solutions Inc,stock,AESI,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEVA,,Aeva Technologies Inc,stock,AEVA,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEXA,,American Exceptionalism Acquisition Corp A - Class A,stock,AEXA,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AEYE,,AudioEye Inc,stock,AEYE,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFBI,,Affinity Bancshares Inc,stock,AFBI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFCG,,AFC Gamma Inc,stock,AFCG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFG,,American Financial Group Inc,stock,AFG,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFGB,,American Financial Group Inc,stock,AFGB,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFGC,,American Financial Group Inc,stock,AFGC,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFGD,,American Financial Group Inc,stock,AFGD,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFGE,,American Financial Group Inc,stock,AFGE,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFJK,,Aimei Health Technology Co Ltd,stock,AFJK,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFJKR,,Aimei Health Technology Co Ltd,stock,AFJKR,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFJKU,,Aimei Health Technology Co Ltd - Units (1 1 Rights),stock,AFJKU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFL,,Aflac Inc,stock,AFL,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFMD,,Affimed N.V.,stock,AFMD,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFRI,,Forafric Global PLC,stock,AFRI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFRIW,,Forafric Global PLC - Warrants (09/06/2027),stock,AFRIW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFRM,,Affirm Holdings Inc - Class A,stock,AFRM,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFSC,,ANCHOR FINANCIAL CORP,stock,AFSC,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AFYA,,Afya Ltd - Class A,stock,AFYA,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AG,,First Majestic Silver Corporation,stock,AG,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGAE,,Allied Gaming & Entertainment Inc,stock,AGAE,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGBK,,AGI Inc - Class A,stock,AGBK,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGCC,,Agencia Comercial Spirits Ltd - Class A,stock,AGCC,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGCO,,AGCO Corp,stock,AGCO,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGEN,,Agenus Inc,stock,AGEN,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGFS,,AgroFresh Solutions Inc,stock,AGFS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGH,,Aureus Greenway Holdings Inc,stock,AGH,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AGI,,Alamos Gold Inc - Class A,stock,AGI,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
